EXPEDIENTE;ANNO;X_TRAMO;FECHA_FALTA;DIA_COMPLETO;ESTUDIOS;GRUPO;MATERIA;AUSENCIAS;RETRASOS;JUSTIFICADAS
9750078;2025;294648;11/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9750078;2025;294630;18/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9750078;2025;294650;02/12/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9750078;2025;294630;19/01/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Itinerario personal para la empleabilidad II;1;0;1
9750078;2025;294647;20/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9750078;2025;294646;20/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9750078;2025;294647;24/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación avanzada;1;0;0
9750078;2025;294648;24/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
10017350;2025;294627;19/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Entornos de desarrollo;1;0;0
10017350;2025;294627;25/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Inglés profesional para los ciclos formativos de Grado Superior;1;0;0
10017350;2025;294582;17/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Lenguajes de marcas y sistemas de gestión de información;1;0;0
10017350;2025;294582;24/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Programación;1;0;0
10017350;2025;294605;13/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Bases de Datos;1;0;0
10017350;2025;294604;23/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
10017350;2025;294582;27/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sostenibilidad aplicada al sistema productivo;1;0;0
10017350;2025;294605;20/02/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
10017350;2025;294604;20/02/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Sistemas informáticos;1;0;0
10017350;2025;;28/10/2025;S;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;;1;0;1
10017350;2025;294584;12/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Programación;1;0;0
10017350;2025;294604;27/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Bases de Datos;1;0;0
10017350;2025;294584;27/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Itinerario personal para la empleabilidad I;1;0;0
9746962;2025;294630;02/10/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Desarrollo de interfaces;1;0;1
9746962;2025;294646;03/10/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
10052350;2025;294585;25/09/2025;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Implantación de aplicaciones web;1;0;0
10052350;2025;294585;23/10/2025;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Implantación de aplicaciones web;1;0;0
10052350;2025;294605;24/10/2025;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Implantación de aplicaciones web;1;0;0
10052350;2025;294585;21/11/2025;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Servicios de red e internet;1;0;0
9753147;2025;294627;12/03/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM D;Desarrollo de interfaces;1;0;0
9753147;2025;;28/10/2025;S;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM D;;1;0;1
10052350;2025;294584;18/12/2025;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Computación en la nube y virtualización;1;0;0
10052350;2025;294584;12/01/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Servicios de red e internet;1;0;0
10052350;2025;294604;21/01/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Seguridad y alta disponibilidad;1;0;0
10052350;2025;294582;23/01/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Administración de sistemas operativos;1;0;0
10052350;2025;294584;23/01/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Administración de sistemas operativos;1;0;0
10052350;2025;294584;10/02/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Seguridad y alta disponibilidad;1;0;0
10052350;2025;294582;19/02/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Computación en la nube y virtualización;1;0;0
10052350;2025;294605;25/02/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Administración de sistemas operativos;1;0;0
10052350;2025;294582;26/02/2026;N;2º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;2º ASIR D;Computación en la nube y virtualización;1;0;0
10010949;2025;294627;18/09/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Gestión de bases de datos;1;0;0
10010949;2025;294604;23/09/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Gestión de bases de datos;1;0;0
10010949;2025;294585;23/09/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10010949;2025;294604;03/12/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10010949;2025;294627;13/01/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Lenguajes de marcas y sistemas de gestión de información;1;0;0
10017139;2025;294584;15/09/2025;N;1º de CFGS (LOFP) - Administración y Finanzas;1º AF D;Ofimática y proceso de la información;1;0;0
10017139;2025;294627;17/09/2025;N;1º de CFGS (LOFP) - Administración y Finanzas;1º AF D;Digitalización aplicada al sector productivo;1;0;0
9757175;2025;294648;22/10/2025;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR V;Introducción a la programación;1;0;0
9757175;2025;294630;04/12/2025;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR V;Sistemas operativos en red;1;0;0
9757175;2025;294650;05/12/2025;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR V;Seguridad informática;1;0;0
9757175;2025;294648;04/02/2026;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR V;Introducción a la programación;1;0;0
9795475;2025;294630;10/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;X1º DAM V;Programación;1;0;0
9795475;2025;294649;12/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;X1º DAM V;Entornos de desarrollo;1;0;0
9795475;2025;294650;12/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;X1º DAM V;Entornos de desarrollo;1;0;0
9795475;2025;294649;16/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;X1º DAM V;Digitalización aplicada al sector productivo;1;0;0
9795475;2025;294646;17/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;X1º DAM V;Bases de Datos;1;0;0
9795475;2025;294647;09/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;X1º DAM V;Bases de Datos;1;0;0
9747868;2025;294585;12/09/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Desarrollo web en entorno cliente;1;0;0
9747868;2025;294584;28/01/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Programación de aplicaciones utilizando frameworks;0;1;0
9747868;2025;294582;11/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Programación de aplicaciones utilizando frameworks;0;1;0
9747357;2025;294585;10/11/2025;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR D;Itinerario personal para la empleabilidad II;1;0;1
9747357;2025;294582;10/11/2025;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR D;Introducción a la programación;1;0;1
9747357;2025;294584;21/11/2025;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR D;Sistemas operativos en red;1;0;1
9747357;2025;294584;29/01/2026;N;2º de CFGM (LOFP) - Sistemas Microinformáticos y Redes;2º SMR D;Seguridad informática;1;0;1
10231080;2025;294584;17/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;1º DAW D;Itinerario personal para la empleabilidad I;1;0;1
9757000;2025;294604;12/09/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Operaciones auxiliares de gestión de tesorería;1;0;0
9757000;2025;294584;07/10/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Tratamiento informático de la información;1;0;0
9757000;2025;294604;15/10/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Inglés profesional para los ciclos formativos de Grado Medio;1;0;1
9757000;2025;294585;16/10/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Proyecto intermodular I;1;0;0
9757000;2025;294604;04/11/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Técnica contable;1;0;0
9757000;2025;294582;10/11/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Técnica contable;1;0;0
9757000;2025;294604;19/11/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Inglés profesional para los ciclos formativos de Grado Medio;1;0;0
9757000;2025;294582;20/11/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Tratamiento informático de la información;1;0;0
9757000;2025;294605;01/12/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Tratamiento informático de la información;1;0;0
9757000;2025;294584;03/12/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Técnica contable;1;0;0
9757000;2025;294585;03/12/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Operaciones auxiliares de gestión de tesorería;1;0;0
9757000;2025;294627;05/12/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Tratamiento informático de la información;1;0;0
9757000;2025;294605;17/12/2025;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Inglés profesional para los ciclos formativos de Grado Medio;1;0;0
9757000;2025;294582;08/01/2026;N;1º de CFGM (LOFP) - Gestión Administrativa;1º GA D;Tratamiento informático de la información;1;0;0
10055513;2025;294584;24/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Desarrollo web en entorno servidor;1;0;0
9745582;2025;294649;14/10/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
10055513;2025;294584;10/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Diseño de interfaces WEB;0;1;0
9745582;2025;294630;18/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9745582;2025;294646;21/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9745582;2025;294647;02/12/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación avanzada;1;0;0
9745582;2025;294649;02/12/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9745582;2025;294649;24/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9745582;2025;294646;03/03/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación avanzada;1;0;0
9745582;2025;294646;28/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9745582;2025;294650;09/12/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Programación multimedia y dispositivos móviles;1;0;0
9745582;2025;294646;11/12/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9745582;2025;294649;12/01/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9745582;2025;294650;16/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9745582;2025;294630;24/02/2026;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;2º DAM V;Acceso a datos;1;0;0
9744379;2025;294582;30/09/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Itinerario personal para la empleabilidad II;1;0;0
9744379;2025;294584;17/11/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Desarrollo web en entorno servidor;1;0;0
9744379;2025;294585;20/10/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Itinerario personal para la empleabilidad II;1;0;0
9744379;2025;294605;24/10/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Diseño de interfaces WEB;1;0;0
9744379;2025;294584;03/12/2025;N;2º de CFGS (LOFP) - Desarrollo de Aplicaciones Web;2º DAW D;Programación de aplicaciones utilizando frameworks;1;0;0
10052262;2025;294604;03/12/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10052262;2025;294582;10/11/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10052262;2025;294605;25/11/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Gestión de bases de datos;1;0;0
10052262;2025;294582;25/11/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Planificación y administración de redes;1;0;0
10052262;2025;294585;27/11/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Gestión de bases de datos;1;0;0
10052262;2025;294605;01/12/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Digitalización aplicada al sector productivo;1;0;0
10052262;2025;294605;10/12/2025;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10052262;2025;294604;08/01/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Planificación y administración de redes;1;0;0
10052262;2025;294585;08/01/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Gestión de bases de datos;1;0;0
10220324;2025;294585;02/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Digitalización aplicada al sector productivo;1;0;1
10052262;2025;294627;19/01/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Sostenibilidad aplicada al sistema productivo;1;0;0
10052262;2025;294584;20/01/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10052262;2025;294585;03/02/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10052262;2025;294605;18/03/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Implantación de sistemas operativos;1;0;0
10052262;2025;294582;20/03/2026;N;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;Fundamentos de hardware;1;0;0
10052262;2025;;01/10/2025;S;1º de CFGS (LOFP) - Administración de Sistemas Informáticos en Red;1º ASIR D;;1;0;1
10220324;2025;294605;26/09/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294584;07/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10220324;2025;294582;08/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294584;08/10/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294582;05/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294584;12/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294604;16/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294584;22/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Programación;1;0;0
10220324;2025;294582;23/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sostenibilidad aplicada al sistema productivo;1;0;0
10220324;2025;294604;18/02/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Programación;1;0;0
10220324;2025;294585;19/02/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Digitalización aplicada al sector productivo;1;0;0
10220324;2025;294582;19/02/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Programación;1;0;0
10220324;2025;294605;16/03/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10220324;2025;294582;23/03/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Entornos de desarrollo;1;0;0
10220324;2025;294605;06/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Proyecto intermodular I;1;0;0
10220324;2025;294582;12/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294585;17/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Digitalización aplicada al sector productivo;1;0;0
10220324;2025;294627;17/11/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10220324;2025;294604;02/12/2025;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Sistemas informáticos;1;0;0
10220324;2025;294627;12/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10220324;2025;294584;20/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10220324;2025;294627;26/01/2026;N;1º de CFGS (LOFP) - Desarrollo de Aplicaciones Multiplataforma;1º DAM D;Bases de Datos;1;0;0
10224517;2025;294650;05/02/2026;N;Curso de Esp. en Ciberseguridad en entornos de las tecnologías de la información (LOFP);CUR CIBER;Puesta en producción segura;1;0;0
10224517;2025;294648;06/10/2025;N;Curso de Esp. en Ciberseguridad en entornos de las tecnologías de la información (LOFP);CUR CIBER;Hacking ético;1;0;0
10224517;2025;294648;12/01/2026;N;Curso de Esp. en Ciberseguridad en entornos de las tecnologías de la información (LOFP);CUR CIBER;Hacking ético;1;0;0
9743968;2025;294647;15/09/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión Financiera;1;0;0
9743968;2025;294648;17/09/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Práctica fiscal y gestión tributaria;1;0;0
9743968;2025;294647;17/09/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Práctica fiscal y gestión tributaria;1;0;0
9743968;2025;294650;03/10/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión de recursos humanos;1;0;0
9743968;2025;294646;29/10/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión logística y comercial;1;0;0
9743968;2025;294649;11/11/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión Financiera;1;0;0
9743968;2025;294647;02/02/2026;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión Financiera;1;0;0
9743968;2025;294648;05/11/2025;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Práctica fiscal y gestión tributaria;1;0;0
9743968;2025;294630;13/01/2026;N;2º de CFGS (LOFP) - Administración y Finanzas;2º AF V;Gestión de recursos humanos;1;0;0
